pokemon_id,name,base_experience,height_in_meters,weight_in_kg,hp,attack,defense,special_attack,special_defense,speed,primary_type,secondary_type,gender_rate,capture_rate,base_happiness,is_baby,is_legendary,is_mythical,color,shape,generation,total_stats
14.0,kakuna,72.0,0.6,10.0,45.0,25.0,50.0,25.0,25.0,35.0,bug,poison,0.5,0.47,70.0,False,False,False,yellow,squiggle,Gen 1,205.0
15.0,beedrill,178.0,1.0,29.5,65.0,90.0,40.0,45.0,80.0,75.0,bug,poison,0.5,0.18,70.0,False,False,False,yellow,bug-wings,Gen 1,395.0
16.0,pidgey,50.0,0.3,1.8,40.0,45.0,40.0,35.0,35.0,56.0,normal,flying,0.5,1.0,70.0,False,False,False,brown,wings,Gen 1,251.0
17.0,pidgeotto,122.0,1.1,30.0,63.0,60.0,55.0,50.0,50.0,71.0,normal,flying,0.5,0.47,70.0,False,False,False,brown,wings,Gen 1,349.0
18.0,pidgeot,216.0,1.5,39.5,83.0,80.0,75.0,70.0,70.0,101.0,normal,flying,0.5,0.18,70.0,False,False,False,brown,wings,Gen 1,479.0
19.0,rattata,51.0,0.3,3.5,30.0,56.0,35.0,25.0,35.0,72.0,normal,,0.5,1.0,70.0,False,False,False,purple,quadruped,Gen 1,253.0
20.0,raticate,145.0,0.7,18.5,55.0,81.0,60.0,50.0,70.0,97.0,normal,,0.5,0.5,70.0,False,False,False,brown,quadruped,Gen 1,413.0
21.0,spearow,52.0,0.3,2.0,40.0,60.0,30.0,31.0,31.0,70.0,normal,flying,0.5,1.0,70.0,False,False,False,brown,wings,Gen 1,262.0
22.0,fearow,155.0,1.2,38.0,65.0,90.0,65.0,61.0,61.0,100.0,normal,flying,0.5,0.35,70.0,False,False,False,brown,wings,Gen 1,442.0
23.0,ekans,58.0,2.0,6.9,35.0,60.0,44.0,40.0,54.0,55.0,poison,,0.5,1.0,70.0,False,False,False,purple,squiggle,Gen 1,288.0
24.0,arbok,157.0,3.5,65.0,60.0,95.0,69.0,65.0,79.0,80.0,poison,,0.5,0.35,70.0,False,False,False,purple,squiggle,Gen 1,448.0
25.0,pikachu,112.0,0.4,6.0,35.0,55.0,40.0,50.0,50.0,90.0,electric,,0.5,0.75,70.0,False,False,False,yellow,quadruped,Gen 1,320.0
26.0,raichu,218.0,0.8,30.0,60.0,90.0,55.0,90.0,80.0,110.0,electric,,0.5,0.29,70.0,False,False,False,yellow,upright,Gen 1,485.0
27.0,sandshrew,60.0,0.6,12.0,50.0,75.0,85.0,20.0,30.0,40.0,ground,,0.5,1.0,70.0,False,False,False,yellow,upright,Gen 1,300.0
28.0,sandslash,158.0,1.0,29.5,75.0,100.0,110.0,45.0,55.0,65.0,ground,,0.5,0.35,70.0,False,False,False,yellow,upright,Gen 1,450.0
29.0,nidoran-f,55.0,0.4,7.0,55.0,47.0,52.0,40.0,40.0,41.0,poison,,1.0,0.92,70.0,False,False,False,blue,quadruped,Gen 1,275.0
30.0,nidorina,128.0,0.8,20.0,70.0,62.0,67.0,55.0,55.0,56.0,poison,,1.0,0.47,70.0,False,False,False,blue,quadruped,Gen 1,365.0
31.0,nidoqueen,227.0,1.3,60.0,90.0,92.0,87.0,75.0,85.0,76.0,poison,ground,1.0,0.18,70.0,False,False,False,blue,upright,Gen 1,505.0
32.0,nidoran-m,55.0,0.5,9.0,46.0,57.0,40.0,40.0,40.0,50.0,poison,,0.0,0.92,70.0,False,False,False,purple,quadruped,Gen 1,273.0
33.0,nidorino,128.0,0.9,19.5,61.0,72.0,57.0,55.0,55.0,65.0,poison,,0.0,0.47,70.0,False,False,False,purple,quadruped,Gen 1,365.0
34.0,nidoking,227.0,1.4,62.0,81.0,102.0,77.0,85.0,75.0,85.0,poison,ground,0.0,0.18,70.0,False,False,False,purple,upright,Gen 1,505.0
35.0,clefairy,113.0,0.6,7.5,70.0,45.0,48.0,60.0,65.0,35.0,fairy,,0.75,0.59,140.0,False,False,False,pink,upright,Gen 1,323.0
36.0,clefable,217.0,1.3,40.0,95.0,70.0,73.0,95.0,90.0,60.0,fairy,,0.75,0.1,140.0,False,False,False,pink,upright,Gen 1,483.0
37.0,vulpix,60.0,0.6,9.9,38.0,41.0,40.0,50.0,65.0,65.0,fire,,0.75,0.75,70.0,False,False,False,brown,quadruped,Gen 1,299.0
38.0,ninetales,177.0,1.1,19.9,73.0,76.0,75.0,81.0,100.0,100.0,fire,,0.75,0.29,70.0,False,False,False,yellow,quadruped,Gen 1,505.0
39.0,jigglypuff,95.0,0.5,5.5,115.0,45.0,20.0,45.0,25.0,20.0,normal,fairy,0.75,0.67,70.0,False,False,False,pink,humanoid,Gen 1,270.0
40.0,wigglytuff,196.0,1.0,12.0,140.0,70.0,45.0,85.0,50.0,45.0,normal,fairy,0.75,0.2,70.0,False,False,False,pink,humanoid,Gen 1,435.0
41.0,zubat,49.0,0.8,7.5,40.0,45.0,35.0,30.0,40.0,55.0,poison,flying,0.5,1.0,70.0,False,False,False,purple,wings,Gen 1,245.0
42.0,golbat,159.0,1.6,55.0,75.0,80.0,70.0,65.0,75.0,90.0,poison,flying,0.5,0.35,70.0,False,False,False,purple,wings,Gen 1,455.0
43.0,oddish,64.0,0.5,5.4,45.0,50.0,55.0,75.0,65.0,30.0,grass,poison,0.5,1.0,70.0,False,False,False,blue,legs,Gen 1,320.0
44.0,gloom,138.0,0.8,8.6,60.0,65.0,70.0,85.0,75.0,40.0,grass,poison,0.5,0.47,70.0,False,False,False,blue,humanoid,Gen 1,395.0
45.0,vileplume,221.0,1.2,18.6,75.0,80.0,85.0,110.0,90.0,50.0,grass,poison,0.5,0.18,70.0,False,False,False,red,humanoid,Gen 1,490.0
46.0,paras,57.0,0.3,5.4,35.0,70.0,55.0,45.0,55.0,25.0,bug,grass,0.5,0.75,70.0,False,False,False,red,armor,Gen 1,285.0
47.0,parasect,142.0,1.0,29.5,60.0,95.0,80.0,60.0,80.0,30.0,bug,grass,0.5,0.29,70.0,False,False,False,red,armor,Gen 1,405.0
48.0,venonat,61.0,1.0,30.0,60.0,55.0,50.0,40.0,55.0,45.0,bug,poison,0.5,0.75,70.0,False,False,False,purple,humanoid,Gen 1,305.0
49.0,venomoth,158.0,1.5,12.5,70.0,65.0,60.0,90.0,75.0,90.0,bug,poison,0.5,0.29,70.0,False,False,False,purple,bug-wings,Gen 1,450.0
50.0,diglett,53.0,0.2,0.8,10.0,55.0,25.0,35.0,45.0,95.0,ground,,0.5,1.0,70.0,False,False,False,brown,blob,Gen 1,265.0
51.0,dugtrio,149.0,0.7,33.3,35.0,100.0,50.0,50.0,70.0,120.0,ground,,0.5,0.2,70.0,False,False,False,brown,heads,Gen 1,425.0
52.0,meowth,58.0,0.4,4.2,40.0,45.0,35.0,40.0,40.0,90.0,normal,,0.5,1.0,70.0,False,False,False,yellow,quadruped,Gen 1,290.0
53.0,persian,154.0,1.0,32.0,65.0,70.0,60.0,65.0,65.0,115.0,normal,,0.5,0.35,70.0,False,False,False,yellow,quadruped,Gen 1,440.0
54.0,psyduck,64.0,0.8,19.6,50.0,52.0,48.0,65.0,50.0,55.0,water,,0.5,0.75,70.0,False,False,False,yellow,upright,Gen 1,320.0
55.0,golduck,175.0,1.7,76.6,80.0,82.0,78.0,95.0,80.0,85.0,water,,0.5,0.29,70.0,False,False,False,blue,upright,Gen 1,500.0
56.0,mankey,61.0,0.5,28.0,40.0,80.0,35.0,35.0,45.0,70.0,fighting,,0.5,0.75,70.0,False,False,False,brown,upright,Gen 1,305.0
57.0,primeape,159.0,1.0,32.0,65.0,105.0,60.0,60.0,70.0,95.0,fighting,,0.5,0.29,70.0,False,False,False,brown,upright,Gen 1,455.0
58.0,growlithe,70.0,0.7,19.0,55.0,70.0,45.0,70.0,50.0,60.0,fire,,0.25,0.75,70.0,False,False,False,brown,quadruped,Gen 1,350.0
59.0,arcanine,194.0,1.9,155.0,90.0,110.0,80.0,100.0,80.0,95.0,fire,,0.25,0.29,70.0,False,False,False,brown,quadruped,Gen 1,555.0
60.0,poliwag,60.0,0.6,12.4,40.0,50.0,40.0,40.0,40.0,90.0,water,,0.5,1.0,70.0,False,False,False,blue,legs,Gen 1,300.0
61.0,poliwhirl,135.0,1.0,20.0,65.0,65.0,65.0,50.0,50.0,90.0,water,,0.5,0.47,70.0,False,False,False,blue,humanoid,Gen 1,385.0
62.0,poliwrath,230.0,1.3,54.0,90.0,95.0,95.0,70.0,90.0,70.0,water,fighting,0.5,0.18,70.0,False,False,False,blue,humanoid,Gen 1,510.0
63.0,abra,62.0,0.9,19.5,25.0,20.0,15.0,105.0,55.0,90.0,psychic,,0.25,0.78,70.0,False,False,False,brown,upright,Gen 1,310.0
64.0,kadabra,140.0,1.3,56.5,40.0,35.0,30.0,120.0,70.0,105.0,psychic,,0.25,0.39,70.0,False,False,False,brown,upright,Gen 1,400.0
65.0,alakazam,225.0,1.5,48.0,55.0,50.0,45.0,135.0,95.0,120.0,psychic,,0.25,0.2,70.0,False,False,False,brown,humanoid,Gen 1,500.0
66.0,machop,61.0,0.8,19.5,70.0,80.0,50.0,35.0,35.0,35.0,fighting,,0.25,0.71,70.0,False,False,False,gray,upright,Gen 1,305.0
67.0,machoke,142.0,1.5,70.5,80.0,100.0,70.0,50.0,60.0,45.0,fighting,,0.25,0.35,70.0,False,False,False,gray,humanoid,Gen 1,405.0
68.0,machamp,227.0,1.6,130.0,90.0,130.0,80.0,65.0,85.0,55.0,fighting,,0.25,0.18,70.0,False,False,False,gray,humanoid,Gen 1,505.0
69.0,bellsprout,60.0,0.7,4.0,50.0,75.0,35.0,70.0,30.0,40.0,grass,poison,0.5,1.0,70.0,False,False,False,green,humanoid,Gen 1,300.0
70.0,weepinbell,137.0,1.0,6.4,65.0,90.0,50.0,85.0,45.0,55.0,grass,poison,0.5,0.47,70.0,False,False,False,green,blob,Gen 1,390.0
71.0,victreebel,221.0,1.7,15.5,80.0,105.0,65.0,100.0,70.0,70.0,grass,poison,0.5,0.18,70.0,False,False,False,green,blob,Gen 1,490.0
72.0,tentacool,67.0,0.9,45.5,40.0,40.0,35.0,50.0,100.0,70.0,water,poison,0.5,0.75,70.0,False,False,False,blue,tentacles,Gen 1,335.0
73.0,tentacruel,180.0,1.6,55.0,80.0,70.0,65.0,80.0,120.0,100.0,water,poison,0.5,0.24,70.0,False,False,False,blue,tentacles,Gen 1,515.0
74.0,geodude,60.0,0.4,20.0,40.0,80.0,100.0,30.0,30.0,20.0,rock,ground,0.5,1.0,70.0,False,False,False,brown,arms,Gen 1,300.0
75.0,graveler,137.0,1.0,105.0,55.0,95.0,115.0,45.0,45.0,35.0,rock,ground,0.5,0.47,70.0,False,False,False,brown,humanoid,Gen 1,390.0
76.0,golem,223.0,1.4,300.0,80.0,120.0,130.0,55.0,65.0,45.0,rock,ground,0.5,0.18,70.0,False,False,False,brown,humanoid,Gen 1,495.0
77.0,ponyta,82.0,1.0,30.0,50.0,85.0,55.0,65.0,65.0,90.0,fire,,0.5,0.75,70.0,False,False,False,yellow,quadruped,Gen 1,410.0
78.0,rapidash,175.0,1.7,95.0,65.0,100.0,70.0,80.0,80.0,105.0,fire,,0.5,0.24,70.0,False,False,False,yellow,quadruped,Gen 1,500.0
79.0,slowpoke,63.0,1.2,36.0,90.0,65.0,65.0,40.0,40.0,15.0,water,psychic,0.5,0.75,70.0,False,False,False,pink,quadruped,Gen 1,315.0
80.0,slowbro,172.0,1.6,78.5,95.0,75.0,110.0,100.0,80.0,30.0,water,psychic,0.5,0.29,70.0,False,False,False,pink,upright,Gen 1,490.0
81.0,magnemite,65.0,0.3,6.0,25.0,35.0,70.0,95.0,55.0,45.0,electric,steel,-1.0,0.75,70.0,False,False,False,gray,arms,Gen 1,325.0
82.0,magneton,163.0,1.0,60.0,50.0,60.0,95.0,120.0,70.0,70.0,electric,steel,-1.0,0.24,70.0,False,False,False,gray,heads,Gen 1,465.0
83.0,farfetchd,132.0,0.8,15.0,52.0,90.0,55.0,58.0,62.0,60.0,normal,flying,0.5,0.18,70.0,False,False,False,brown,wings,Gen 1,377.0
84.0,doduo,62.0,1.4,39.2,35.0,85.0,45.0,35.0,35.0,75.0,normal,flying,0.5,0.75,70.0,False,False,False,brown,legs,Gen 1,310.0
85.0,dodrio,165.0,1.8,85.2,60.0,110.0,70.0,60.0,60.0,110.0,normal,flying,0.5,0.18,70.0,False,False,False,brown,legs,Gen 1,470.0
86.0,seel,65.0,1.1,90.0,65.0,45.0,55.0,45.0,70.0,45.0,water,,0.5,0.75,70.0,False,False,False,white,fish,Gen 1,325.0
87.0,dewgong,166.0,1.7,120.0,90.0,70.0,80.0,70.0,95.0,70.0,water,ice,0.5,0.29,70.0,False,False,False,white,fish,Gen 1,475.0
88.0,grimer,65.0,0.9,30.0,80.0,80.0,50.0,40.0,50.0,25.0,poison,,0.5,0.75,70.0,False,False,False,purple,arms,Gen 1,325.0
89.0,muk,175.0,1.2,30.0,105.0,105.0,75.0,65.0,100.0,50.0,poison,,0.5,0.29,70.0,False,False,False,purple,arms,Gen 1,500.0
90.0,shellder,61.0,0.3,4.0,30.0,65.0,100.0,45.0,25.0,40.0,water,,0.5,0.75,70.0,False,False,False,purple,ball,Gen 1,305.0
91.0,cloyster,184.0,1.5,132.5,50.0,95.0,180.0,85.0,45.0,70.0,water,ice,0.5,0.24,70.0,False,False,False,purple,ball,Gen 1,525.0
92.0,gastly,62.0,1.3,0.1,30.0,35.0,30.0,100.0,35.0,80.0,ghost,poison,0.5,0.75,70.0,False,False,False,purple,ball,Gen 1,310.0
93.0,haunter,142.0,1.6,0.1,45.0,50.0,45.0,115.0,55.0,95.0,ghost,poison,0.5,0.35,70.0,False,False,False,purple,arms,Gen 1,405.0
94.0,gengar,225.0,1.5,40.5,60.0,65.0,60.0,130.0,75.0,110.0,ghost,poison,0.5,0.18,70.0,False,False,False,purple,upright,Gen 1,500.0
95.0,onix,77.0,8.8,210.0,35.0,45.0,160.0,30.0,45.0,70.0,rock,ground,0.5,0.18,70.0,False,False,False,gray,squiggle,Gen 1,385.0
96.0,drowzee,66.0,1.0,32.4,60.0,48.0,45.0,43.0,90.0,42.0,psychic,,0.5,0.75,70.0,False,False,False,yellow,humanoid,Gen 1,328.0
97.0,hypno,169.0,1.6,75.6,85.0,73.0,70.0,73.0,115.0,67.0,psychic,,0.5,0.29,70.0,False,False,False,yellow,humanoid,Gen 1,483.0
98.0,krabby,65.0,0.4,6.5,30.0,105.0,90.0,25.0,25.0,50.0,water,,0.5,0.88,70.0,False,False,False,red,armor,Gen 1,325.0
99.0,kingler,166.0,1.3,60.0,55.0,130.0,115.0,50.0,50.0,75.0,water,,0.5,0.24,70.0,False,False,False,red,armor,Gen 1,475.0
100.0,voltorb,66.0,0.5,10.4,40.0,30.0,50.0,55.0,55.0,100.0,electric,,-1.0,0.75,70.0,False,False,False,red,ball,Gen 1,330.0
101.0,electrode,172.0,1.2,66.6,60.0,50.0,70.0,80.0,80.0,150.0,electric,,-1.0,0.24,70.0,False,False,False,red,ball,Gen 1,490.0
102.0,exeggcute,65.0,0.4,2.5,60.0,40.0,80.0,60.0,45.0,40.0,grass,psychic,0.5,0.35,70.0,False,False,False,pink,heads,Gen 1,325.0
103.0,exeggutor,186.0,2.0,120.0,95.0,95.0,85.0,125.0,75.0,55.0,grass,psychic,0.5,0.18,70.0,False,False,False,yellow,legs,Gen 1,530.0
104.0,cubone,64.0,0.4,6.5,50.0,50.0,95.0,40.0,50.0,35.0,ground,,0.5,0.75,70.0,False,False,False,brown,upright,Gen 1,320.0
105.0,marowak,149.0,1.0,45.0,60.0,80.0,110.0,50.0,80.0,45.0,ground,,0.5,0.29,70.0,False,False,False,brown,upright,Gen 1,425.0
106.0,hitmonlee,159.0,1.5,49.8,50.0,120.0,53.0,35.0,110.0,87.0,fighting,,0.0,0.18,70.0,False,False,False,brown,humanoid,Gen 1,455.0
107.0,hitmonchan,159.0,1.4,50.2,50.0,105.0,79.0,35.0,110.0,76.0,fighting,,0.0,0.18,70.0,False,False,False,brown,humanoid,Gen 1,455.0
108.0,lickitung,77.0,1.2,65.5,90.0,55.0,75.0,60.0,75.0,30.0,normal,,0.5,0.18,70.0,False,False,False,pink,upright,Gen 1,385.0
109.0,koffing,68.0,0.6,1.0,40.0,65.0,95.0,60.0,45.0,35.0,poison,,0.5,0.75,70.0,False,False,False,purple,ball,Gen 1,340.0
110.0,weezing,172.0,1.2,9.5,65.0,90.0,120.0,85.0,70.0,60.0,poison,,0.5,0.24,70.0,False,False,False,purple,heads,Gen 1,490.0
111.0,rhyhorn,69.0,1.0,115.0,80.0,85.0,95.0,30.0,30.0,25.0,ground,rock,0.5,0.47,70.0,False,False,False,gray,quadruped,Gen 1,345.0
112.0,rhydon,170.0,1.9,120.0,105.0,130.0,120.0,45.0,45.0,40.0,ground,rock,0.5,0.24,70.0,False,False,False,gray,upright,Gen 1,485.0
113.0,chansey,395.0,1.1,34.6,250.0,5.0,5.0,35.0,105.0,50.0,normal,,1.0,0.12,140.0,False,False,False,pink,upright,Gen 1,450.0
114.0,tangela,87.0,1.0,35.0,65.0,55.0,115.0,100.0,40.0,60.0,grass,,0.5,0.18,70.0,False,False,False,blue,legs,Gen 1,435.0
115.0,kangaskhan,172.0,2.2,80.0,105.0,95.0,80.0,40.0,80.0,90.0,normal,,1.0,0.18,70.0,False,False,False,brown,upright,Gen 1,490.0
116.0,horsea,59.0,0.4,8.0,30.0,40.0,70.0,70.0,25.0,60.0,water,,0.5,0.88,70.0,False,False,False,blue,blob,Gen 1,295.0
117.0,seadra,154.0,1.2,25.0,55.0,65.0,95.0,95.0,45.0,85.0,water,,0.5,0.29,70.0,False,False,False,blue,blob,Gen 1,440.0
118.0,goldeen,64.0,0.6,15.0,45.0,67.0,60.0,35.0,50.0,63.0,water,,0.5,0.88,70.0,False,False,False,red,fish,Gen 1,320.0
119.0,seaking,158.0,1.3,39.0,80.0,92.0,65.0,65.0,80.0,68.0,water,,0.5,0.24,70.0,False,False,False,red,fish,Gen 1,450.0
120.0,staryu,68.0,0.8,34.5,30.0,45.0,55.0,70.0,55.0,85.0,water,,-1.0,0.88,70.0,False,False,False,brown,blob,Gen 1,340.0
121.0,starmie,182.0,1.1,80.0,60.0,75.0,85.0,100.0,85.0,115.0,water,psychic,-1.0,0.24,70.0,False,False,False,purple,blob,Gen 1,520.0
122.0,mr-mime,161.0,1.3,54.5,40.0,45.0,65.0,100.0,120.0,90.0,psychic,fairy,0.5,0.18,70.0,False,False,False,pink,humanoid,Gen 1,460.0
123.0,scyther,100.0,1.5,56.0,70.0,110.0,80.0,55.0,80.0,105.0,bug,flying,0.5,0.18,70.0,False,False,False,green,bug-wings,Gen 1,500.0
124.0,jynx,159.0,1.4,40.6,65.0,50.0,35.0,115.0,95.0,95.0,ice,psychic,1.0,0.18,70.0,False,False,False,red,humanoid,Gen 1,455.0
125.0,electabuzz,172.0,1.1,30.0,65.0,83.0,57.0,95.0,85.0,105.0,electric,,0.25,0.18,70.0,False,False,False,yellow,upright,Gen 1,490.0
126.0,magmar,173.0,1.3,44.5,65.0,95.0,57.0,100.0,85.0,93.0,fire,,0.25,0.18,70.0,False,False,False,red,upright,Gen 1,495.0
127.0,pinsir,175.0,1.5,55.0,65.0,125.0,100.0,55.0,70.0,85.0,bug,,0.5,0.18,70.0,False,False,False,brown,humanoid,Gen 1,500.0
128.0,tauros,172.0,1.4,88.4,75.0,100.0,95.0,40.0,70.0,110.0,normal,,0.0,0.18,70.0,False,False,False,brown,quadruped,Gen 1,490.0
129.0,magikarp,40.0,0.9,10.0,20.0,10.0,55.0,15.0,20.0,80.0,water,,0.5,1.0,70.0,False,False,False,red,fish,Gen 1,200.0
130.0,gyarados,189.0,6.5,235.0,95.0,125.0,79.0,60.0,100.0,81.0,water,flying,0.5,0.18,70.0,False,False,False,blue,squiggle,Gen 1,540.0
131.0,lapras,187.0,2.5,220.0,130.0,85.0,80.0,85.0,95.0,60.0,water,ice,0.5,0.18,70.0,False,False,False,blue,fish,Gen 1,535.0
132.0,ditto,101.0,0.3,4.0,48.0,48.0,48.0,48.0,48.0,48.0,normal,,-1.0,0.14,70.0,False,False,False,purple,ball,Gen 1,288.0
133.0,eevee,65.0,0.3,6.5,55.0,55.0,50.0,45.0,65.0,55.0,normal,,0.12,0.18,70.0,False,False,False,brown,quadruped,Gen 1,325.0
134.0,vaporeon,184.0,1.0,29.0,130.0,65.0,60.0,110.0,95.0,65.0,water,,0.12,0.18,70.0,False,False,False,blue,quadruped,Gen 1,525.0
135.0,jolteon,184.0,0.8,24.5,65.0,65.0,60.0,110.0,95.0,130.0,electric,,0.12,0.18,70.0,False,False,False,yellow,quadruped,Gen 1,525.0
136.0,flareon,184.0,0.9,25.0,65.0,130.0,60.0,95.0,110.0,65.0,fire,,0.12,0.18,70.0,False,False,False,red,quadruped,Gen 1,525.0
137.0,porygon,79.0,0.8,36.5,65.0,60.0,70.0,85.0,75.0,40.0,normal,,-1.0,0.18,70.0,False,False,False,pink,legs,Gen 1,395.0
138.0,omanyte,71.0,0.4,7.5,35.0,40.0,100.0,90.0,55.0,35.0,rock,water,0.12,0.18,70.0,False,False,False,blue,tentacles,Gen 1,355.0
139.0,omastar,173.0,1.0,35.0,70.0,60.0,125.0,115.0,70.0,55.0,rock,water,0.12,0.18,70.0,False,False,False,blue,tentacles,Gen 1,495.0
140.0,kabuto,71.0,0.5,11.5,30.0,80.0,90.0,55.0,45.0,55.0,rock,water,0.12,0.18,70.0,False,False,False,brown,armor,Gen 1,355.0
141.0,kabutops,173.0,1.3,40.5,60.0,115.0,105.0,65.0,70.0,80.0,rock,water,0.12,0.18,70.0,False,False,False,brown,upright,Gen 1,495.0
142.0,aerodactyl,180.0,1.8,59.0,80.0,105.0,65.0,60.0,75.0,130.0,rock,flying,0.12,0.18,70.0,False,False,False,purple,wings,Gen 1,515.0
143.0,snorlax,189.0,2.1,460.0,160.0,110.0,65.0,65.0,110.0,30.0,normal,,0.12,0.1,70.0,False,False,False,black,humanoid,Gen 1,540.0
144.0,articuno,261.0,1.7,55.4,90.0,85.0,100.0,95.0,125.0,85.0,ice,flying,-1.0,0.01,35.0,False,True,False,blue,wings,Gen 1,580.0
145.0,zapdos,261.0,1.6,52.6,90.0,90.0,85.0,125.0,90.0,100.0,electric,flying,-1.0,0.01,35.0,False,True,False,yellow,wings,Gen 1,580.0
146.0,moltres,261.0,2.0,60.0,90.0,100.0,90.0,125.0,85.0,90.0,fire,flying,-1.0,0.01,35.0,False,True,False,yellow,wings,Gen 1,580.0
147.0,dratini,60.0,1.8,3.3,41.0,64.0,45.0,50.0,50.0,50.0,dragon,,0.5,0.18,35.0,False,False,False,blue,squiggle,Gen 1,300.0
148.0,dragonair,147.0,4.0,16.5,61.0,84.0,65.0,70.0,70.0,70.0,dragon,,0.5,0.18,35.0,False,False,False,blue,squiggle,Gen 1,420.0
149.0,dragonite,270.0,2.2,210.0,91.0,134.0,95.0,100.0,100.0,80.0,dragon,flying,0.5,0.18,35.0,False,False,False,brown,upright,Gen 1,600.0
150.0,mewtwo,306.0,2.0,122.0,106.0,110.0,90.0,154.0,90.0,130.0,psychic,,-1.0,0.01,0.0,False,True,False,purple,upright,Gen 1,680.0
151.0,mew,270.0,0.4,4.0,100.0,100.0,100.0,100.0,100.0,100.0,psychic,,-1.0,0.18,100.0,False,False,True,pink,upright,Gen 1,600.0
152.0,chikorita,64.0,0.9,6.4,45.0,49.0,65.0,49.0,65.0,45.0,grass,,0.12,0.18,70.0,False,False,False,green,quadruped,Gen 2,318.0
153.0,bayleef,142.0,1.2,15.8,60.0,62.0,80.0,63.0,80.0,60.0,grass,,0.12,0.18,70.0,False,False,False,green,quadruped,Gen 2,405.0
154.0,meganium,236.0,1.8,100.5,80.0,82.0,100.0,83.0,100.0,80.0,grass,,0.12,0.18,70.0,False,False,False,green,quadruped,Gen 2,525.0
155.0,cyndaquil,62.0,0.5,7.9,39.0,52.0,43.0,60.0,50.0,65.0,fire,,0.12,0.18,70.0,False,False,False,yellow,humanoid,Gen 2,309.0
156.0,quilava,142.0,0.9,19.0,58.0,64.0,58.0,80.0,65.0,80.0,fire,,0.12,0.18,70.0,False,False,False,yellow,quadruped,Gen 2,405.0
157.0,typhlosion,240.0,1.7,79.5,78.0,84.0,78.0,109.0,85.0,100.0,fire,,0.12,0.18,70.0,False,False,False,yellow,quadruped,Gen 2,534.0
158.0,totodile,63.0,0.6,9.5,50.0,65.0,64.0,44.0,48.0,43.0,water,,0.12,0.18,70.0,False,False,False,blue,upright,Gen 2,314.0
159.0,croconaw,142.0,1.1,25.0,65.0,80.0,80.0,59.0,63.0,58.0,water,,0.12,0.18,70.0,False,False,False,blue,upright,Gen 2,405.0
160.0,feraligatr,239.0,2.3,88.8,85.0,105.0,100.0,79.0,83.0,78.0,water,,0.12,0.18,70.0,False,False,False,blue,upright,Gen 2,530.0
161.0,sentret,43.0,0.8,6.0,35.0,46.0,34.0,35.0,45.0,20.0,normal,,0.5,1.0,70.0,False,False,False,brown,quadruped,Gen 2,215.0
162.0,furret,145.0,1.8,32.5,85.0,76.0,64.0,45.0,55.0,90.0,normal,,0.5,0.35,70.0,False,False,False,brown,quadruped,Gen 2,415.0
163.0,hoothoot,52.0,0.7,21.2,60.0,30.0,30.0,36.0,56.0,50.0,normal,flying,0.5,1.0,70.0,False,False,False,brown,wings,Gen 2,262.0
