pokemon_id,pokemon_name,pokemon_base_exp,pokemon_height,pokemon_weight,pokemon_hp,pokemon_atk,pokemon_def,pokemon_sp_atk,pokemon_sp_def,pokemon_speed,pokemon_type_1,pokemon_type_2,p_species_gender_rate,p_species_capture_rate,p_species_base_happiness,p_species_is_baby,p_species_is_legendary,p_species_is_mythical,p_species_color,p_species_shape,p_species_gen
50,diglett,53,2,8,10,55,25,35,45,95,ground,,4,255,70,False,False,False,brown,blob,generation-i
51,dugtrio,149,7,333,35,100,50,50,70,120,ground,,4,50,70,False,False,False,brown,heads,generation-i
52,meowth,58,4,42,40,45,35,40,40,90,normal,,4,255,70,False,False,False,yellow,quadruped,generation-i
53,persian,154,10,320,65,70,60,65,65,115,normal,,4,90,70,False,False,False,yellow,quadruped,generation-i
54,psyduck,64,8,196,50,52,48,65,50,55,water,,4,190,70,False,False,False,yellow,upright,generation-i
55,golduck,175,17,766,80,82,78,95,80,85,water,,4,75,70,False,False,False,blue,upright,generation-i
56,mankey,61,5,280,40,80,35,35,45,70,fighting,,4,190,70,False,False,False,brown,upright,generation-i
57,primeape,159,10,320,65,105,60,60,70,95,fighting,,4,75,70,False,False,False,brown,upright,generation-i
58,growlithe,70,7,190,55,70,45,70,50,60,fire,,2,190,70,False,False,False,brown,quadruped,generation-i
59,arcanine,194,19,1550,90,110,80,100,80,95,fire,,2,75,70,False,False,False,brown,quadruped,generation-i
60,poliwag,60,6,124,40,50,40,40,40,90,water,,4,255,70,False,False,False,blue,legs,generation-i
61,poliwhirl,135,10,200,65,65,65,50,50,90,water,,4,120,70,False,False,False,blue,humanoid,generation-i
62,poliwrath,230,13,540,90,95,95,70,90,70,water,fighting,4,45,70,False,False,False,blue,humanoid,generation-i
63,abra,62,9,195,25,20,15,105,55,90,psychic,,2,200,70,False,False,False,brown,upright,generation-i
64,kadabra,140,13,565,40,35,30,120,70,105,psychic,,2,100,70,False,False,False,brown,upright,generation-i
65,alakazam,225,15,480,55,50,45,135,95,120,psychic,,2,50,70,False,False,False,brown,humanoid,generation-i
66,machop,61,8,195,70,80,50,35,35,35,fighting,,2,180,70,False,False,False,gray,upright,generation-i
67,machoke,142,15,705,80,100,70,50,60,45,fighting,,2,90,70,False,False,False,gray,humanoid,generation-i
68,machamp,227,16,1300,90,130,80,65,85,55,fighting,,2,45,70,False,False,False,gray,humanoid,generation-i
69,bellsprout,60,7,40,50,75,35,70,30,40,grass,poison,4,255,70,False,False,False,green,humanoid,generation-i
70,weepinbell,137,10,64,65,90,50,85,45,55,grass,poison,4,120,70,False,False,False,green,blob,generation-i
71,victreebel,221,17,155,80,105,65,100,70,70,grass,poison,4,45,70,False,False,False,green,blob,generation-i
72,tentacool,67,9,455,40,40,35,50,100,70,water,poison,4,190,70,False,False,False,blue,tentacles,generation-i
73,tentacruel,180,16,550,80,70,65,80,120,100,water,poison,4,60,70,False,False,False,blue,tentacles,generation-i
74,geodude,60,4,200,40,80,100,30,30,20,rock,ground,4,255,70,False,False,False,brown,arms,generation-i
75,graveler,137,10,1050,55,95,115,45,45,35,rock,ground,4,120,70,False,False,False,brown,humanoid,generation-i
76,golem,223,14,3000,80,120,130,55,65,45,rock,ground,4,45,70,False,False,False,brown,humanoid,generation-i
77,ponyta,82,10,300,50,85,55,65,65,90,fire,,4,190,70,False,False,False,yellow,quadruped,generation-i
78,rapidash,175,17,950,65,100,70,80,80,105,fire,,4,60,70,False,False,False,yellow,quadruped,generation-i
79,slowpoke,63,12,360,90,65,65,40,40,15,water,psychic,4,190,70,False,False,False,pink,quadruped,generation-i
80,slowbro,172,16,785,95,75,110,100,80,30,water,psychic,4,75,70,False,False,False,pink,upright,generation-i
81,magnemite,65,3,60,25,35,70,95,55,45,electric,steel,-1,190,70,False,False,False,gray,arms,generation-i
82,magneton,163,10,600,50,60,95,120,70,70,electric,steel,-1,60,70,False,False,False,gray,heads,generation-i
83,farfetchd,132,8,150,52,90,55,58,62,60,normal,flying,4,45,70,False,False,False,brown,wings,generation-i
84,doduo,62,14,392,35,85,45,35,35,75,normal,flying,4,190,70,False,False,False,brown,legs,generation-i
85,dodrio,165,18,852,60,110,70,60,60,110,normal,flying,4,45,70,False,False,False,brown,legs,generation-i
86,seel,65,11,900,65,45,55,45,70,45,water,,4,190,70,False,False,False,white,fish,generation-i
87,dewgong,166,17,1200,90,70,80,70,95,70,water,ice,4,75,70,False,False,False,white,fish,generation-i
88,grimer,65,9,300,80,80,50,40,50,25,poison,,4,190,70,False,False,False,purple,arms,generation-i
89,muk,175,12,300,105,105,75,65,100,50,poison,,4,75,70,False,False,False,purple,arms,generation-i
90,shellder,61,3,40,30,65,100,45,25,40,water,,4,190,70,False,False,False,purple,ball,generation-i
91,cloyster,184,15,1325,50,95,180,85,45,70,water,ice,4,60,70,False,False,False,purple,ball,generation-i
92,gastly,62,13,1,30,35,30,100,35,80,ghost,poison,4,190,70,False,False,False,purple,ball,generation-i
93,haunter,142,16,1,45,50,45,115,55,95,ghost,poison,4,90,70,False,False,False,purple,arms,generation-i
94,gengar,225,15,405,60,65,60,130,75,110,ghost,poison,4,45,70,False,False,False,purple,upright,generation-i
95,onix,77,88,2100,35,45,160,30,45,70,rock,ground,4,45,70,False,False,False,gray,squiggle,generation-i
96,drowzee,66,10,324,60,48,45,43,90,42,psychic,,4,190,70,False,False,False,yellow,humanoid,generation-i
97,hypno,169,16,756,85,73,70,73,115,67,psychic,,4,75,70,False,False,False,yellow,humanoid,generation-i
98,krabby,65,4,65,30,105,90,25,25,50,water,,4,225,70,False,False,False,red,armor,generation-i
99,kingler,166,13,600,55,130,115,50,50,75,water,,4,60,70,False,False,False,red,armor,generation-i
100,voltorb,66,5,104,40,30,50,55,55,100,electric,,-1,190,70,False,False,False,red,ball,generation-i
101,electrode,172,12,666,60,50,70,80,80,150,electric,,-1,60,70,False,False,False,red,ball,generation-i
102,exeggcute,65,4,25,60,40,80,60,45,40,grass,psychic,4,90,70,False,False,False,pink,heads,generation-i
103,exeggutor,186,20,1200,95,95,85,125,75,55,grass,psychic,4,45,70,False,False,False,yellow,legs,generation-i
104,cubone,64,4,65,50,50,95,40,50,35,ground,,4,190,70,False,False,False,brown,upright,generation-i
105,marowak,149,10,450,60,80,110,50,80,45,ground,,4,75,70,False,False,False,brown,upright,generation-i
106,hitmonlee,159,15,498,50,120,53,35,110,87,fighting,,0,45,70,False,False,False,brown,humanoid,generation-i
107,hitmonchan,159,14,502,50,105,79,35,110,76,fighting,,0,45,70,False,False,False,brown,humanoid,generation-i
108,lickitung,77,12,655,90,55,75,60,75,30,normal,,4,45,70,False,False,False,pink,upright,generation-i
109,koffing,68,6,10,40,65,95,60,45,35,poison,,4,190,70,False,False,False,purple,ball,generation-i
110,weezing,172,12,95,65,90,120,85,70,60,poison,,4,60,70,False,False,False,purple,heads,generation-i
111,rhyhorn,69,10,1150,80,85,95,30,30,25,ground,rock,4,120,70,False,False,False,gray,quadruped,generation-i
112,rhydon,170,19,1200,105,130,120,45,45,40,ground,rock,4,60,70,False,False,False,gray,upright,generation-i
113,chansey,395,11,346,250,5,5,35,105,50,normal,,8,30,140,False,False,False,pink,upright,generation-i
114,tangela,87,10,350,65,55,115,100,40,60,grass,,4,45,70,False,False,False,blue,legs,generation-i
115,kangaskhan,172,22,800,105,95,80,40,80,90,normal,,8,45,70,False,False,False,brown,upright,generation-i
116,horsea,59,4,80,30,40,70,70,25,60,water,,4,225,70,False,False,False,blue,blob,generation-i
117,seadra,154,12,250,55,65,95,95,45,85,water,,4,75,70,False,False,False,blue,blob,generation-i
118,goldeen,64,6,150,45,67,60,35,50,63,water,,4,225,70,False,False,False,red,fish,generation-i
119,seaking,158,13,390,80,92,65,65,80,68,water,,4,60,70,False,False,False,red,fish,generation-i
120,staryu,68,8,345,30,45,55,70,55,85,water,,-1,225,70,False,False,False,brown,blob,generation-i
121,starmie,182,11,800,60,75,85,100,85,115,water,psychic,-1,60,70,False,False,False,purple,blob,generation-i
122,mr-mime,161,13,545,40,45,65,100,120,90,psychic,fairy,4,45,70,False,False,False,pink,humanoid,generation-i
123,scyther,100,15,560,70,110,80,55,80,105,bug,flying,4,45,70,False,False,False,green,bug-wings,generation-i
124,jynx,159,14,406,65,50,35,115,95,95,ice,psychic,8,45,70,False,False,False,red,humanoid,generation-i
125,electabuzz,172,11,300,65,83,57,95,85,105,electric,,2,45,70,False,False,False,yellow,upright,generation-i
126,magmar,173,13,445,65,95,57,100,85,93,fire,,2,45,70,False,False,False,red,upright,generation-i
127,pinsir,175,15,550,65,125,100,55,70,85,bug,,4,45,70,False,False,False,brown,humanoid,generation-i
128,tauros,172,14,884,75,100,95,40,70,110,normal,,0,45,70,False,False,False,brown,quadruped,generation-i
129,magikarp,40,9,100,20,10,55,15,20,80,water,,4,255,70,False,False,False,red,fish,generation-i
130,gyarados,189,65,2350,95,125,79,60,100,81,water,flying,4,45,70,False,False,False,blue,squiggle,generation-i
131,lapras,187,25,2200,130,85,80,85,95,60,water,ice,4,45,70,False,False,False,blue,fish,generation-i
132,ditto,101,3,40,48,48,48,48,48,48,normal,,-1,35,70,False,False,False,purple,ball,generation-i
133,eevee,65,3,65,55,55,50,45,65,55,normal,,1,45,70,False,False,False,brown,quadruped,generation-i
134,vaporeon,184,10,290,130,65,60,110,95,65,water,,1,45,70,False,False,False,blue,quadruped,generation-i
135,jolteon,184,8,245,65,65,60,110,95,130,electric,,1,45,70,False,False,False,yellow,quadruped,generation-i
136,flareon,184,9,250,65,130,60,95,110,65,fire,,1,45,70,False,False,False,red,quadruped,generation-i
137,porygon,79,8,365,65,60,70,85,75,40,normal,,-1,45,70,False,False,False,pink,legs,generation-i
138,omanyte,71,4,75,35,40,100,90,55,35,rock,water,1,45,70,False,False,False,blue,tentacles,generation-i
139,omastar,173,10,350,70,60,125,115,70,55,rock,water,1,45,70,False,False,False,blue,tentacles,generation-i
140,kabuto,71,5,115,30,80,90,55,45,55,rock,water,1,45,70,False,False,False,brown,armor,generation-i
141,kabutops,173,13,405,60,115,105,65,70,80,rock,water,1,45,70,False,False,False,brown,upright,generation-i
142,aerodactyl,180,18,590,80,105,65,60,75,130,rock,flying,1,45,70,False,False,False,purple,wings,generation-i
143,snorlax,189,21,4600,160,110,65,65,110,30,normal,,1,25,70,False,False,False,black,humanoid,generation-i
144,articuno,261,17,554,90,85,100,95,125,85,ice,flying,-1,3,35,False,True,False,blue,wings,generation-i
145,zapdos,261,16,526,90,90,85,125,90,100,electric,flying,-1,3,35,False,True,False,yellow,wings,generation-i
146,moltres,261,20,600,90,100,90,125,85,90,fire,flying,-1,3,35,False,True,False,yellow,wings,generation-i
147,dratini,60,18,33,41,64,45,50,50,50,dragon,,4,45,35,False,False,False,blue,squiggle,generation-i
148,dragonair,147,40,165,61,84,65,70,70,70,dragon,,4,45,35,False,False,False,blue,squiggle,generation-i
149,dragonite,270,22,2100,91,134,95,100,100,80,dragon,flying,4,45,35,False,False,False,brown,upright,generation-i
150,mewtwo,306,20,1220,106,110,90,154,90,130,psychic,,-1,3,0,False,True,False,purple,upright,generation-i
151,mew,270,4,40,100,100,100,100,100,100,psychic,,-1,45,100,False,False,True,pink,upright,generation-i
152,chikorita,64,9,64,45,49,65,49,65,45,grass,,1,45,70,False,False,False,green,quadruped,generation-ii
153,bayleef,142,12,158,60,62,80,63,80,60,grass,,1,45,70,False,False,False,green,quadruped,generation-ii
154,meganium,236,18,1005,80,82,100,83,100,80,grass,,1,45,70,False,False,False,green,quadruped,generation-ii
155,cyndaquil,62,5,79,39,52,43,60,50,65,fire,,1,45,70,False,False,False,yellow,humanoid,generation-ii
156,quilava,142,9,190,58,64,58,80,65,80,fire,,1,45,70,False,False,False,yellow,quadruped,generation-ii
157,typhlosion,240,17,795,78,84,78,109,85,100,fire,,1,45,70,False,False,False,yellow,quadruped,generation-ii
158,totodile,63,6,95,50,65,64,44,48,43,water,,1,45,70,False,False,False,blue,upright,generation-ii
159,croconaw,142,11,250,65,80,80,59,63,58,water,,1,45,70,False,False,False,blue,upright,generation-ii
160,feraligatr,239,23,888,85,105,100,79,83,78,water,,1,45,70,False,False,False,blue,upright,generation-ii
161,sentret,43,8,60,35,46,34,35,45,20,normal,,4,255,70,False,False,False,brown,quadruped,generation-ii
162,furret,145,18,325,85,76,64,45,55,90,normal,,4,90,70,False,False,False,brown,quadruped,generation-ii
163,hoothoot,52,7,212,60,30,30,36,56,50,normal,flying,4,255,70,False,False,False,brown,wings,generation-ii
164,noctowl,158,16,408,100,50,50,86,96,70,normal,flying,4,90,70,False,False,False,brown,wings,generation-ii
165,ledyba,53,10,108,40,20,30,40,80,55,bug,flying,4,255,70,False,False,False,red,wings,generation-ii
166,ledian,137,14,356,55,35,50,55,110,85,bug,flying,4,90,70,False,False,False,red,wings,generation-ii
167,spinarak,50,5,85,40,60,40,40,40,30,bug,poison,4,255,70,False,False,False,green,armor,generation-ii
168,ariados,140,11,335,70,90,70,60,70,40,bug,poison,4,90,70,False,False,False,red,armor,generation-ii
169,crobat,241,18,750,85,90,80,70,80,130,poison,flying,4,90,70,False,False,False,purple,bug-wings,generation-ii
170,chinchou,66,5,120,75,38,38,56,56,67,water,electric,4,190,70,False,False,False,blue,fish,generation-ii
171,lanturn,161,12,225,125,58,58,76,76,67,water,electric,4,75,70,False,False,False,blue,fish,generation-ii
172,pichu,41,3,20,20,40,15,35,35,60,electric,,4,190,70,True,False,False,yellow,quadruped,generation-ii
173,cleffa,44,3,30,50,25,28,45,55,15,fairy,,6,150,140,True,False,False,pink,upright,generation-ii
174,igglybuff,42,3,10,90,30,15,40,20,15,normal,fairy,6,170,70,True,False,False,pink,humanoid,generation-ii
175,togepi,49,3,15,35,20,65,40,65,20,fairy,,1,190,70,True,False,False,white,humanoid,generation-ii
176,togetic,142,6,32,55,40,85,80,105,40,fairy,flying,1,75,70,False,False,False,white,humanoid,generation-ii
177,natu,64,2,20,40,50,45,70,45,70,psychic,flying,4,190,70,False,False,False,green,wings,generation-ii
178,xatu,165,15,150,65,75,70,95,70,95,psychic,flying,4,75,70,False,False,False,green,wings,generation-ii
179,mareep,56,6,78,55,40,40,65,45,35,electric,,4,235,70,False,False,False,white,quadruped,generation-ii
180,flaaffy,128,8,133,70,55,55,80,60,45,electric,,4,120,70,False,False,False,pink,upright,generation-ii
181,ampharos,230,14,615,90,75,85,115,90,55,electric,,4,45,70,False,False,False,yellow,upright,generation-ii
182,bellossom,221,4,58,75,80,95,90,100,50,grass,,4,45,70,False,False,False,green,humanoid,generation-ii
183,marill,88,4,85,70,20,50,20,50,40,water,fairy,4,190,70,False,False,False,blue,upright,generation-ii
184,azumarill,189,8,285,100,50,80,60,80,50,water,fairy,4,75,70,False,False,False,blue,upright,generation-ii
185,sudowoodo,144,12,380,70,100,115,30,65,30,rock,,4,65,70,False,False,False,brown,humanoid,generation-ii
186,politoed,225,11,339,90,75,75,90,100,70,water,,4,45,70,False,False,False,green,humanoid,generation-ii
187,hoppip,50,4,5,35,35,40,35,55,50,grass,flying,4,255,70,False,False,False,pink,upright,generation-ii
188,skiploom,119,6,10,55,45,50,45,65,80,grass,flying,4,120,70,False,False,False,green,upright,generation-ii
189,jumpluff,207,8,30,75,55,70,55,95,110,grass,flying,4,45,70,False,False,False,blue,upright,generation-ii
190,aipom,72,8,115,55,70,55,40,55,85,normal,,4,45,70,False,False,False,purple,upright,generation-ii
191,sunkern,36,3,18,30,30,30,30,30,30,grass,,4,235,70,False,False,False,yellow,ball,generation-ii
192,sunflora,149,8,85,75,75,55,105,85,30,grass,,4,120,70,False,False,False,yellow,humanoid,generation-ii
193,yanma,78,12,380,65,65,45,75,45,95,bug,flying,4,75,70,False,False,False,red,bug-wings,generation-ii
194,wooper,42,4,85,55,45,45,25,25,15,water,ground,4,255,70,False,False,False,blue,legs,generation-ii
195,quagsire,151,14,750,95,85,85,65,65,35,water,ground,4,90,70,False,False,False,blue,upright,generation-ii
196,espeon,184,9,265,65,65,60,130,95,110,psychic,,1,45,70,False,False,False,purple,quadruped,generation-ii
197,umbreon,184,10,270,95,65,110,60,130,65,dark,,1,45,35,False,False,False,black,quadruped,generation-ii
198,murkrow,81,5,21,60,85,42,85,42,91,dark,flying,4,30,35,False,False,False,black,wings,generation-ii
199,slowking,172,20,795,95,75,80,100,110,30,water,psychic,4,70,70,False,False,False,pink,upright,generation-ii
200,misdreavus,87,7,10,60,60,60,85,85,85,ghost,,4,45,35,False,False,False,gray,ball,generation-ii
201,unown,118,5,50,48,72,48,72,48,48,psychic,,-1,225,70,False,False,False,black,ball,generation-ii
202,wobbuffet,142,13,285,190,33,58,33,58,33,psychic,,4,45,70,False,False,False,blue,blob,generation-ii
203,girafarig,159,15,415,70,80,65,90,65,85,normal,psychic,4,60,70,False,False,False,yellow,quadruped,generation-ii
204,pineco,58,6,72,50,65,90,35,35,15,bug,,4,190,70,False,False,False,gray,ball,generation-ii
205,forretress,163,12,1258,75,90,140,60,60,40,bug,steel,4,75,70,False,False,False,purple,ball,generation-ii
206,dunsparce,145,15,140,100,70,70,65,65,45,normal,,4,190,70,False,False,False,yellow,squiggle,generation-ii
207,gligar,86,11,648,65,75,105,35,65,85,ground,flying,4,60,70,False,False,False,purple,wings,generation-ii
208,steelix,179,92,4000,75,85,200,55,65,30,steel,ground,4,25,70,False,False,False,gray,squiggle,generation-ii
209,snubbull,60,6,78,60,80,50,40,40,30,fairy,,6,190,70,False,False,False,pink,humanoid,generation-ii
210,granbull,158,14,487,90,120,75,60,60,45,fairy,,6,75,70,False,False,False,purple,upright,generation-ii
211,qwilfish,88,5,39,65,95,85,55,55,85,water,poison,4,45,70,False,False,False,gray,fish,generation-ii
212,scizor,175,18,1180,70,130,100,55,80,65,bug,steel,4,25,70,False,False,False,red,bug-wings,generation-ii
213,shuckle,177,6,205,20,10,230,10,230,5,bug,rock,4,190,70,False,False,False,yellow,armor,generation-ii
214,heracross,175,15,540,80,125,75,40,95,85,bug,fighting,4,45,70,False,False,False,blue,humanoid,generation-ii
215,sneasel,86,9,280,55,95,55,35,75,115,dark,ice,4,60,35,False,False,False,black,upright,generation-ii
216,teddiursa,66,6,88,60,80,50,50,50,40,normal,,4,120,70,False,False,False,brown,upright,generation-ii
217,ursaring,175,18,1258,90,130,75,75,75,55,normal,,4,60,70,False,False,False,brown,upright,generation-ii
218,slugma,50,7,350,40,40,40,70,40,20,fire,,4,190,70,False,False,False,red,squiggle,generation-ii
219,magcargo,151,8,550,60,50,120,90,80,30,fire,rock,4,75,70,False,False,False,red,squiggle,generation-ii
220,swinub,50,4,65,50,50,40,30,30,50,ice,ground,4,225,70,False,False,False,brown,quadruped,generation-ii
221,piloswine,158,11,558,100,100,80,60,60,50,ice,ground,4,75,70,False,False,False,brown,quadruped,generation-ii
222,corsola,144,6,50,65,55,95,65,95,35,water,rock,6,60,70,False,False,False,pink,armor,generation-ii
223,remoraid,60,6,120,35,65,35,65,35,65,water,,4,190,70,False,False,False,gray,fish,generation-ii
224,octillery,168,9,285,75,105,75,105,75,45,water,,4,75,70,False,False,False,red,tentacles,generation-ii
225,delibird,116,9,160,45,55,45,65,45,75,ice,flying,4,45,70,False,False,False,red,wings,generation-ii
226,mantine,170,21,2200,85,40,70,80,140,70,water,flying,4,25,70,False,False,False,purple,wings,generation-ii
227,skarmory,163,17,505,65,80,140,40,70,70,steel,flying,4,25,70,False,False,False,gray,wings,generation-ii
228,houndour,66,6,108,45,60,30,80,50,65,dark,fire,4,120,35,False,False,False,black,quadruped,generation-ii
229,houndoom,175,14,350,75,90,50,110,80,95,dark,fire,4,45,35,False,False,False,black,quadruped,generation-ii
230,kingdra,243,18,1520,75,95,95,95,95,85,water,dragon,4,45,70,False,False,False,blue,blob,generation-ii
231,phanpy,66,5,335,90,60,60,40,40,40,ground,,4,120,70,False,False,False,blue,quadruped,generation-ii
232,donphan,175,11,1200,90,120,120,60,60,50,ground,,4,60,70,False,False,False,gray,quadruped,generation-ii
233,porygon2,180,6,325,85,80,90,105,95,60,normal,,-1,45,70,False,False,False,red,legs,generation-ii
234,stantler,163,14,712,73,95,62,85,65,85,normal,,4,45,70,False,False,False,brown,quadruped,generation-ii
235,smeargle,88,12,580,55,20,35,20,45,75,normal,,4,45,70,False,False,False,white,upright,generation-ii
236,tyrogue,42,7,210,35,35,35,35,35,35,fighting,,0,75,70,True,False,False,purple,humanoid,generation-ii
237,hitmontop,159,14,480,50,95,95,35,110,70,fighting,,0,45,70,False,False,False,brown,upright,generation-ii
238,smoochum,61,4,60,45,30,15,85,65,65,ice,psychic,8,45,70,True,False,False,pink,humanoid,generation-ii
239,elekid,72,6,235,45,63,37,65,55,95,electric,,2,45,70,True,False,False,yellow,humanoid,generation-ii
240,magby,73,7,214,45,75,37,70,55,83,fire,,2,45,70,True,False,False,red,upright,generation-ii
241,miltank,172,12,755,95,80,105,40,70,100,normal,,8,45,70,False,False,False,pink,upright,generation-ii
242,blissey,608,15,468,255,10,10,75,135,55,normal,,8,30,140,False,False,False,pink,humanoid,generation-ii
243,raikou,261,19,1780,90,85,75,115,100,115,electric,,-1,3,35,False,True,False,yellow,quadruped,generation-ii
244,entei,261,21,1980,115,115,85,90,75,100,fire,,-1,3,35,False,True,False,brown,quadruped,generation-ii
245,suicune,261,20,1870,100,75,115,90,115,85,water,,-1,3,35,False,True,False,blue,quadruped,generation-ii
246,larvitar,60,6,720,50,64,50,45,50,41,rock,ground,4,45,35,False,False,False,green,upright,generation-ii
247,pupitar,144,12,1520,70,84,70,65,70,51,rock,ground,4,45,35,False,False,False,gray,squiggle,generation-ii
248,tyranitar,270,20,2020,100,134,110,95,100,61,rock,dark,4,45,35,False,False,False,green,upright,generation-ii
249,lugia,306,52,2160,106,90,130,90,154,110,psychic,flying,-1,3,0,False,True,False,white,wings,generation-ii
250,ho-oh,306,38,1990,106,130,90,110,154,90,fire,flying,-1,3,0,False,True,False,red,wings,generation-ii
251,celebi,270,6,50,100,100,100,100,100,100,psychic,grass,-1,45,100,False,False,True,green,humanoid,generation-ii
252,treecko,62,5,50,40,45,35,65,55,70,grass,,1,45,70,False,False,False,green,upright,generation-iii
